name,track_number,duration_ms,track_id,album,release_date
The Albatross,19,183878,4EF6IyONolQy0bIQXm2EmX,THE TORTURED POETS DEPARTMENT,2024-04-19
Chloe or Sam or Sophia or Marcus,20,213281,1rmEsOezwf2lmIZTMAO5Ag,THE TORTURED POETS DEPARTMENT,2024-04-19
How Did It End?,21,238706,5Bedn0svl0ZD7RGmJkmKKw,THE TORTURED POETS DEPARTMENT,2024-04-19
So High School,22,228800,7Mts0OfPorF4iwOomvfqn1,THE TORTURED POETS DEPARTMENT,2024-04-19
I Hate It Here,23,243875,3hlGuz3loYoLfI3bpwieWq,THE TORTURED POETS DEPARTMENT,2024-04-19
thanK you aIMee,24,263817,7ogK4lJDVDMU6A6vYR5rvD,THE TORTURED POETS DEPARTMENT,2024-04-19
I Look in People's Windows,25,131907,1Zai5UJ2di3qEuR2HeT2s8,THE TORTURED POETS DEPARTMENT,2024-04-19
The Prophecy,26,249807,18WFFUIsewmA8g31KAeo3e,THE TORTURED POETS DEPARTMENT,2024-04-19
Cassandra,27,240205,0g4fMVo4JjwnIpTfFfLdxS,THE TORTURED POETS DEPARTMENT,2024-04-19
Peter,28,283957,3zMDGj4D8ogaYgAIZPeU7S,THE TORTURED POETS DEPARTMENT,2024-04-19
The Bolter,29,238241,2913xXOVAIDAqxzV2g4VcU,THE TORTURED POETS DEPARTMENT,2024-04-19
Robin,30,240893,2CnjDMdpRjlWv04Xk3s6MW,THE TORTURED POETS DEPARTMENT,2024-04-19
The Manuscript,31,224743,1DTRUYVd8rYpla9hhVVwjo,THE TORTURED POETS DEPARTMENT,2024-04-19
